filename,day_info
TFUEL_USDT_data.csv,2021-01-01 (1/24 hours)
TFUEL_USDT_data.csv,2021-01-10 (21/24 hours)
TFUEL_USDT_data.csv,2021-01-27 (23/24 hours)
TFUEL_USDT_data.csv,2021-02-20 (23/24 hours)
TFUEL_USDT_data.csv,2021-02-22 (23/24 hours)
TFUEL_USDT_data.csv,2021-02-26 (23/24 hours)
TFUEL_USDT_data.csv,2021-03-25 (23/24 hours)
TFUEL_USDT_data.csv,2021-04-04 (23/24 hours)
TFUEL_USDT_data.csv,2021-04-17 (22/24 hours)
TFUEL_USDT_data.csv,2021-04-26 (23/24 hours)
TFUEL_USDT_data.csv,2021-05-05 (23/24 hours)
TFUEL_USDT_data.csv,2021-06-11 (23/24 hours)
TFUEL_USDT_data.csv,2021-07-01 (23/24 hours)
TFUEL_USDT_data.csv,2021-07-06 (23/24 hours)
TFUEL_USDT_data.csv,2022-01-27 (23/24 hours)
TFUEL_USDT_data.csv,2022-02-11 (20/24 hours)
TFUEL_USDT_data.csv,2022-05-20 (20/24 hours)
TFUEL_USDT_data.csv,2022-10-04 (23/24 hours)
TFUEL_USDT_data.csv,2022-10-07 (20/24 hours)
TFUEL_USDT_data.csv,2022-10-08 (17/24 hours)
TFUEL_USDT_data.csv,2023-03-02 (23/24 hours)
TFUEL_USDT_data.csv,2023-11-03 (23/24 hours)
TFUEL_USDT_data.csv,2024-01-09 (23/24 hours)
TFUEL_USDT_data.csv,2024-08-05 (23/24 hours)
TFUEL_USDT_data.csv,2024-08-16 (23/24 hours)
TFUEL_USDT_data.csv,2024-10-03 (23/24 hours)
TFUEL_USDT_data.csv,2024-10-09 (23/24 hours)
TFUEL_USDT_data.csv,2024-10-22 (10/24 hours)
CAKE_USDT_data.csv,2021-01-01 (1/24 hours)
CAKE_USDT_data.csv,2021-01-10 (21/24 hours)
CAKE_USDT_data.csv,2021-02-26 (23/24 hours)
CAKE_USDT_data.csv,2021-03-25 (23/24 hours)
CAKE_USDT_data.csv,2021-04-04 (23/24 hours)
CAKE_USDT_data.csv,2021-04-17 (21/24 hours)
CAKE_USDT_data.csv,2024-05-07 (16/24 hours)
CAKE_USDT_data.csv,2024-05-08 (10/24 hours)
CAKE_USDT_data.csv,2024-05-09 (21/24 hours)
CAKE_USDT_data.csv,2024-07-26 (23/24 hours)
CAKE_USDT_data.csv,2024-08-20 (22/24 hours)
CAKE_USDT_data.csv,2024-10-22 (8/24 hours)
COMP_USDT_data.csv,2021-01-01 (1/24 hours)
COMP_USDT_data.csv,2024-05-09 (21/24 hours)
COMP_USDT_data.csv,2024-07-26 (23/24 hours)
COMP_USDT_data.csv,2024-08-20 (22/24 hours)
COMP_USDT_data.csv,2024-10-22 (8/24 hours)
TWT_USDT_data.csv,2021-01-01 (1/24 hours)
TWT_USDT_data.csv,2021-01-10 (21/24 hours)
TWT_USDT_data.csv,2021-03-25 (23/24 hours)
TWT_USDT_data.csv,2021-04-04 (23/24 hours)
TWT_USDT_data.csv,2021-04-15 (23/24 hours)
TWT_USDT_data.csv,2021-04-17 (21/24 hours)
TWT_USDT_data.csv,2021-04-19 (23/24 hours)
TWT_USDT_data.csv,2021-04-20 (23/24 hours)
TWT_USDT_data.csv,2021-04-26 (23/24 hours)
TWT_USDT_data.csv,2021-05-22 (23/24 hours)
TWT_USDT_data.csv,2021-06-01 (23/24 hours)
TWT_USDT_data.csv,2021-07-01 (23/24 hours)
TWT_USDT_data.csv,2021-07-06 (23/24 hours)
TWT_USDT_data.csv,2022-01-27 (23/24 hours)
TWT_USDT_data.csv,2022-02-11 (20/24 hours)
TWT_USDT_data.csv,2022-05-20 (20/24 hours)
TWT_USDT_data.csv,2022-10-04 (23/24 hours)
TWT_USDT_data.csv,2022-10-07 (20/24 hours)
TWT_USDT_data.csv,2022-10-08 (18/24 hours)
TWT_USDT_data.csv,2023-03-02 (23/24 hours)
TWT_USDT_data.csv,2023-11-03 (23/24 hours)
TWT_USDT_data.csv,2024-01-09 (23/24 hours)
TWT_USDT_data.csv,2024-07-26 (23/24 hours)
TWT_USDT_data.csv,2024-08-20 (22/24 hours)
TWT_USDT_data.csv,2024-10-22 (8/24 hours)
GALA_USDT_data.csv,2021-01-01 (1/24 hours)
GALA_USDT_data.csv,2021-01-10 (21/24 hours)
GALA_USDT_data.csv,2021-01-27 (23/24 hours)
GALA_USDT_data.csv,2021-02-20 (23/24 hours)
GALA_USDT_data.csv,2021-02-22 (23/24 hours)
GALA_USDT_data.csv,2021-03-25 (23/24 hours)
GALA_USDT_data.csv,2021-04-17 (22/24 hours)
GALA_USDT_data.csv,2021-04-26 (23/24 hours)
GALA_USDT_data.csv,2021-05-05 (23/24 hours)
GALA_USDT_data.csv,2021-06-11 (23/24 hours)
GALA_USDT_data.csv,2021-07-01 (23/24 hours)
GALA_USDT_data.csv,2021-07-06 (23/24 hours)
GALA_USDT_data.csv,2022-01-27 (23/24 hours)
GALA_USDT_data.csv,2022-02-11 (20/24 hours)
GALA_USDT_data.csv,2022-05-20 (19/24 hours)
GALA_USDT_data.csv,2022-10-04 (23/24 hours)
GALA_USDT_data.csv,2022-10-07 (20/24 hours)
GALA_USDT_data.csv,2022-10-08 (17/24 hours)
GALA_USDT_data.csv,2023-03-02 (23/24 hours)
GALA_USDT_data.csv,2024-05-09 (21/24 hours)
GALA_USDT_data.csv,2024-07-26 (23/24 hours)
GALA_USDT_data.csv,2024-08-20 (22/24 hours)
GALA_USDT_data.csv,2024-10-22 (8/24 hours)
SUPER_USDT_data.csv,2021-02-22 (8/24 hours)
SUPER_USDT_data.csv,2022-10-01 (23/24 hours)
SUPER_USDT_data.csv,2023-07-21 (19/24 hours)
SUPER_USDT_data.csv,2024-05-09 (21/24 hours)
SUPER_USDT_data.csv,2024-07-26 (23/24 hours)
SUPER_USDT_data.csv,2024-08-20 (22/24 hours)
SUPER_USDT_data.csv,2024-10-22 (8/24 hours)
KAS_USDT_data.csv,2022-05-25 (15/24 hours)
KAS_USDT_data.csv,2022-10-04 (23/24 hours)
KAS_USDT_data.csv,2022-10-07 (20/24 hours)
KAS_USDT_data.csv,2022-10-08 (18/24 hours)
KAS_USDT_data.csv,2023-03-02 (23/24 hours)
KAS_USDT_data.csv,2023-11-03 (23/24 hours)
KAS_USDT_data.csv,2024-08-20 (23/24 hours)
KAS_USDT_data.csv,2024-10-09 (23/24 hours)
KAS_USDT_data.csv,2024-10-22 (10/24 hours)
ZEC_USDT_data.csv,2021-01-01 (1/24 hours)
ZEC_USDT_data.csv,2021-02-22 (15/24 hours)
ZEC_USDT_data.csv,2021-12-12 (20/24 hours)
ZEC_USDT_data.csv,2023-07-21 (10/24 hours)
ZEC_USDT_data.csv,2024-05-09 (21/24 hours)
ZEC_USDT_data.csv,2024-07-26 (23/24 hours)
ZEC_USDT_data.csv,2024-08-20 (22/24 hours)
ZEC_USDT_data.csv,2024-10-22 (8/24 hours)
CFX_USDT_data.csv,2021-01-01 (1/24 hours)
CFX_USDT_data.csv,2021-01-10 (21/24 hours)
CFX_USDT_data.csv,2021-02-20 (23/24 hours)
CFX_USDT_data.csv,2021-02-22 (23/24 hours)
CFX_USDT_data.csv,2021-02-26 (23/24 hours)
CFX_USDT_data.csv,2021-03-25 (23/24 hours)
CFX_USDT_data.csv,2021-04-04 (23/24 hours)
CFX_USDT_data.csv,2021-04-08 (23/24 hours)
CFX_USDT_data.csv,2021-04-15 (23/24 hours)
CFX_USDT_data.csv,2021-04-17 (21/24 hours)
CFX_USDT_data.csv,2021-04-19 (22/24 hours)
CFX_USDT_data.csv,2021-04-20 (23/24 hours)
CFX_USDT_data.csv,2021-04-26 (23/24 hours)
CFX_USDT_data.csv,2021-05-05 (23/24 hours)
CFX_USDT_data.csv,2024-05-09 (21/24 hours)
CFX_USDT_data.csv,2024-07-26 (23/24 hours)
CFX_USDT_data.csv,2024-08-20 (22/24 hours)
CFX_USDT_data.csv,2024-10-22 (8/24 hours)
FIL_USDT_data.csv,2021-01-01 (1/24 hours)
FIL_USDT_data.csv,2021-02-22 (3/24 hours)
FIL_USDT_data.csv,2021-03-02 (1/24 hours)
FIL_USDT_data.csv,2021-12-12 (5/24 hours)
FIL_USDT_data.csv,2022-10-01 (7/24 hours)
FIL_USDT_data.csv,2022-10-30 (16/24 hours)
FIL_USDT_data.csv,2023-07-21 (9/24 hours)
FIL_USDT_data.csv,2023-09-10 (7/24 hours)
FIL_USDT_data.csv,2024-05-09 (21/24 hours)
FIL_USDT_data.csv,2024-07-26 (23/24 hours)
FIL_USDT_data.csv,2024-08-20 (22/24 hours)
FIL_USDT_data.csv,2024-10-22 (8/24 hours)
GNO_USDT_data.csv,2021-01-01 (1/24 hours)
GNO_USDT_data.csv,2021-12-12 (23/24 hours)
GNO_USDT_data.csv,2024-05-09 (21/24 hours)
GNO_USDT_data.csv,2024-07-26 (23/24 hours)
GNO_USDT_data.csv,2024-08-20 (22/24 hours)
GNO_USDT_data.csv,2024-10-22 (8/24 hours)
CKB_USDT_data.csv,2021-01-01 (1/24 hours)
CKB_USDT_data.csv,2021-01-10 (20/24 hours)
CKB_USDT_data.csv,2021-02-20 (23/24 hours)
CKB_USDT_data.csv,2021-02-22 (23/24 hours)
CKB_USDT_data.csv,2021-02-26 (23/24 hours)
CKB_USDT_data.csv,2021-04-17 (21/24 hours)
CKB_USDT_data.csv,2021-04-26 (23/24 hours)
CKB_USDT_data.csv,2021-05-05 (23/24 hours)
CKB_USDT_data.csv,2021-05-10 (23/24 hours)
CKB_USDT_data.csv,2021-07-01 (23/24 hours)
CKB_USDT_data.csv,2021-07-06 (23/24 hours)
CKB_USDT_data.csv,2022-01-27 (23/24 hours)
CKB_USDT_data.csv,2022-02-11 (20/24 hours)
CKB_USDT_data.csv,2022-05-20 (19/24 hours)
CKB_USDT_data.csv,2022-10-04 (23/24 hours)
CKB_USDT_data.csv,2022-10-07 (20/24 hours)
CKB_USDT_data.csv,2022-10-08 (17/24 hours)
CKB_USDT_data.csv,2023-03-02 (23/24 hours)
CKB_USDT_data.csv,2023-11-03 (23/24 hours)
CKB_USDT_data.csv,2024-01-09 (23/24 hours)
CKB_USDT_data.csv,2024-08-20 (23/24 hours)
CKB_USDT_data.csv,2024-10-09 (23/24 hours)
CKB_USDT_data.csv,2024-10-22 (10/24 hours)
FTM_USDT_data.csv,2021-01-01 (1/24 hours)
FTM_USDT_data.csv,2024-05-07 (17/24 hours)
FTM_USDT_data.csv,2024-05-08 (10/24 hours)
FTM_USDT_data.csv,2024-05-09 (21/24 hours)
FTM_USDT_data.csv,2024-07-26 (23/24 hours)
FTM_USDT_data.csv,2024-08-20 (22/24 hours)
FTM_USDT_data.csv,2024-10-22 (8/24 hours)
JASMY_USDT_data.csv,2021-02-04 (2/24 hours)
JASMY_USDT_data.csv,2021-02-20 (23/24 hours)
JASMY_USDT_data.csv,2021-03-18 (9/24 hours)
JASMY_USDT_data.csv,2021-06-30 (10/24 hours)
JASMY_USDT_data.csv,2022-10-01 (15/24 hours)
JASMY_USDT_data.csv,2024-05-09 (21/24 hours)
JASMY_USDT_data.csv,2024-07-26 (23/24 hours)
JASMY_USDT_data.csv,2024-08-20 (22/24 hours)
JASMY_USDT_data.csv,2024-10-22 (8/24 hours)
IMX_USDT_data.csv,2021-11-05 (11/24 hours)
IMX_USDT_data.csv,2022-10-01 (22/24 hours)
IMX_USDT_data.csv,2024-05-09 (21/24 hours)
IMX_USDT_data.csv,2024-07-26 (23/24 hours)
IMX_USDT_data.csv,2024-08-20 (22/24 hours)
IMX_USDT_data.csv,2024-10-22 (8/24 hours)
FTN_USDT_data.csv,2023-01-21 (14/24 hours)
FTN_USDT_data.csv,2023-01-23 (2/24 hours)
FTN_USDT_data.csv,2023-01-24 (7/24 hours)
FTN_USDT_data.csv,2023-01-27 (19/24 hours)
FTN_USDT_data.csv,2023-01-28 (14/24 hours)
FTN_USDT_data.csv,2023-01-29 (21/24 hours)
FTN_USDT_data.csv,2023-02-01 (18/24 hours)
FTN_USDT_data.csv,2023-02-02 (16/24 hours)
FTN_USDT_data.csv,2023-02-04 (23/24 hours)
FTN_USDT_data.csv,2023-02-05 (2/24 hours)
FTN_USDT_data.csv,2023-02-07 (22/24 hours)
FTN_USDT_data.csv,2023-02-08 (8/24 hours)
FTN_USDT_data.csv,2023-02-09 (14/24 hours)
FTN_USDT_data.csv,2023-02-10 (2/24 hours)
FTN_USDT_data.csv,2023-02-11 (4/24 hours)
FTN_USDT_data.csv,2023-02-12 (5/24 hours)
FTN_USDT_data.csv,2023-02-13 (19/24 hours)
FTN_USDT_data.csv,2023-02-14 (22/24 hours)
FTN_USDT_data.csv,2023-02-15 (4/24 hours)
FTN_USDT_data.csv,2023-02-16 (9/24 hours)
FTN_USDT_data.csv,2023-02-17 (15/24 hours)
FTN_USDT_data.csv,2023-02-18 (12/24 hours)
FTN_USDT_data.csv,2023-02-19 (10/24 hours)
FTN_USDT_data.csv,2023-02-20 (15/24 hours)
FTN_USDT_data.csv,2023-02-22 (5/24 hours)
FTN_USDT_data.csv,2023-02-24 (22/24 hours)
FTN_USDT_data.csv,2023-02-27 (11/24 hours)
FTN_USDT_data.csv,2023-02-28 (20/24 hours)
FTN_USDT_data.csv,2023-03-01 (21/24 hours)
FTN_USDT_data.csv,2023-03-02 (23/24 hours)
FTN_USDT_data.csv,2023-11-03 (23/24 hours)
FTN_USDT_data.csv,2024-01-09 (23/24 hours)
FTN_USDT_data.csv,2024-01-19 (23/24 hours)
FTN_USDT_data.csv,2024-07-01 (23/24 hours)
FTN_USDT_data.csv,2024-08-13 (23/24 hours)
FTN_USDT_data.csv,2024-08-16 (23/24 hours)
FTN_USDT_data.csv,2024-08-26 (23/24 hours)
FTN_USDT_data.csv,2024-10-09 (23/24 hours)
FTN_USDT_data.csv,2024-10-22 (10/24 hours)
LINK_USDT_data.csv,2021-01-01 (1/24 hours)
LINK_USDT_data.csv,2024-05-04 (14/24 hours)
LINK_USDT_data.csv,2024-05-07 (2/24 hours)
LINK_USDT_data.csv,2024-05-08 (10/24 hours)
LINK_USDT_data.csv,2024-05-09 (21/24 hours)
LINK_USDT_data.csv,2024-07-26 (23/24 hours)
LINK_USDT_data.csv,2024-08-20 (22/24 hours)
LINK_USDT_data.csv,2024-10-19 (11/24 hours)
LINK_USDT_data.csv,2024-10-21 (19/24 hours)
LINK_USDT_data.csv,2024-10-22 (8/24 hours)
GT_USDT_data.csv,2021-01-01 (1/24 hours)
GT_USDT_data.csv,2024-05-05 (15/24 hours)
GT_USDT_data.csv,2024-05-07 (2/24 hours)
GT_USDT_data.csv,2024-05-08 (10/24 hours)
GT_USDT_data.csv,2024-05-09 (21/24 hours)
GT_USDT_data.csv,2024-07-26 (23/24 hours)
GT_USDT_data.csv,2024-08-20 (22/24 hours)
GT_USDT_data.csv,2024-10-22 (8/24 hours)
EGLD_USDT_data.csv,2021-01-01 (1/24 hours)
EGLD_USDT_data.csv,2021-01-10 (21/24 hours)
EGLD_USDT_data.csv,2021-03-25 (23/24 hours)
EGLD_USDT_data.csv,2021-04-17 (21/24 hours)
EGLD_USDT_data.csv,2021-04-26 (23/24 hours)
EGLD_USDT_data.csv,2021-06-01 (23/24 hours)
EGLD_USDT_data.csv,2021-07-01 (23/24 hours)
EGLD_USDT_data.csv,2021-07-06 (23/24 hours)
EGLD_USDT_data.csv,2022-01-27 (23/24 hours)
EGLD_USDT_data.csv,2022-02-11 (20/24 hours)
EGLD_USDT_data.csv,2022-05-20 (19/24 hours)
EGLD_USDT_data.csv,2022-10-04 (23/24 hours)
EGLD_USDT_data.csv,2022-10-07 (20/24 hours)
EGLD_USDT_data.csv,2022-10-08 (17/24 hours)
EGLD_USDT_data.csv,2023-03-02 (23/24 hours)
EGLD_USDT_data.csv,2023-11-03 (23/24 hours)
EGLD_USDT_data.csv,2024-01-09 (23/24 hours)
EGLD_USDT_data.csv,2024-07-26 (23/24 hours)
EGLD_USDT_data.csv,2024-08-20 (22/24 hours)
EGLD_USDT_data.csv,2024-10-22 (8/24 hours)
RAY_USDT_data.csv,2021-02-21 (8/24 hours)
RAY_USDT_data.csv,2021-02-26 (23/24 hours)
RAY_USDT_data.csv,2021-03-25 (23/24 hours)
RAY_USDT_data.csv,2021-04-04 (23/24 hours)
RAY_USDT_data.csv,2021-04-08 (23/24 hours)
RAY_USDT_data.csv,2021-04-15 (23/24 hours)
RAY_USDT_data.csv,2021-04-17 (21/24 hours)
RAY_USDT_data.csv,2021-04-19 (22/24 hours)
RAY_USDT_data.csv,2021-04-20 (23/24 hours)
RAY_USDT_data.csv,2021-04-26 (23/24 hours)
RAY_USDT_data.csv,2021-05-05 (23/24 hours)
RAY_USDT_data.csv,2021-07-01 (23/24 hours)
RAY_USDT_data.csv,2021-07-06 (23/24 hours)
RAY_USDT_data.csv,2022-01-27 (23/24 hours)
RAY_USDT_data.csv,2022-02-11 (20/24 hours)
RAY_USDT_data.csv,2022-05-20 (20/24 hours)
RAY_USDT_data.csv,2022-10-04 (23/24 hours)
RAY_USDT_data.csv,2022-10-07 (20/24 hours)
RAY_USDT_data.csv,2022-10-08 (17/24 hours)
RAY_USDT_data.csv,2023-03-02 (23/24 hours)
RAY_USDT_data.csv,2023-11-03 (23/24 hours)
RAY_USDT_data.csv,2024-10-09 (23/24 hours)
RAY_USDT_data.csv,2024-10-22 (10/24 hours)
RSR_USDT_data.csv,2021-01-01 (1/24 hours)
RSR_USDT_data.csv,2021-01-10 (21/24 hours)
RSR_USDT_data.csv,2021-03-25 (23/24 hours)
RSR_USDT_data.csv,2021-04-17 (22/24 hours)
RSR_USDT_data.csv,2021-06-01 (23/24 hours)
RSR_USDT_data.csv,2021-07-01 (23/24 hours)
RSR_USDT_data.csv,2021-07-06 (23/24 hours)
RSR_USDT_data.csv,2022-01-27 (23/24 hours)
RSR_USDT_data.csv,2022-02-11 (20/24 hours)
RSR_USDT_data.csv,2022-10-01 (23/24 hours)
RSR_USDT_data.csv,2024-05-09 (21/24 hours)
RSR_USDT_data.csv,2024-07-26 (23/24 hours)
RSR_USDT_data.csv,2024-08-20 (22/24 hours)
RSR_USDT_data.csv,2024-10-22 (8/24 hours)
NEO_USDT_data.csv,2021-01-01 (1/24 hours)
NEO_USDT_data.csv,2021-01-10 (21/24 hours)
NEO_USDT_data.csv,2021-03-25 (23/24 hours)
NEO_USDT_data.csv,2021-04-17 (21/24 hours)
NEO_USDT_data.csv,2021-04-26 (23/24 hours)
NEO_USDT_data.csv,2021-05-05 (23/24 hours)
NEO_USDT_data.csv,2021-07-01 (23/24 hours)
NEO_USDT_data.csv,2021-07-06 (23/24 hours)
NEO_USDT_data.csv,2022-01-27 (23/24 hours)
NEO_USDT_data.csv,2022-02-11 (20/24 hours)
NEO_USDT_data.csv,2022-05-20 (19/24 hours)
NEO_USDT_data.csv,2022-10-04 (23/24 hours)
NEO_USDT_data.csv,2022-10-07 (20/24 hours)
NEO_USDT_data.csv,2022-10-08 (17/24 hours)
NEO_USDT_data.csv,2023-03-02 (23/24 hours)
NEO_USDT_data.csv,2023-11-03 (23/24 hours)
NEO_USDT_data.csv,2024-01-09 (23/24 hours)
NEO_USDT_data.csv,2024-08-16 (23/24 hours)
NEO_USDT_data.csv,2024-10-09 (23/24 hours)
NEO_USDT_data.csv,2024-10-22 (10/24 hours)
XLM_USDT_data.csv,2021-01-01 (1/24 hours)
XLM_USDT_data.csv,2021-01-10 (20/24 hours)
XLM_USDT_data.csv,2021-03-25 (23/24 hours)
XLM_USDT_data.csv,2021-04-17 (21/24 hours)
XLM_USDT_data.csv,2021-04-26 (23/24 hours)
XLM_USDT_data.csv,2021-06-01 (23/24 hours)
XLM_USDT_data.csv,2021-07-01 (23/24 hours)
XLM_USDT_data.csv,2021-07-06 (23/24 hours)
XLM_USDT_data.csv,2022-01-27 (23/24 hours)
XLM_USDT_data.csv,2022-02-11 (20/24 hours)
XLM_USDT_data.csv,2022-05-20 (20/24 hours)
XLM_USDT_data.csv,2022-10-04 (23/24 hours)
XLM_USDT_data.csv,2022-10-07 (20/24 hours)
XLM_USDT_data.csv,2022-10-08 (17/24 hours)
XLM_USDT_data.csv,2023-03-02 (23/24 hours)
XLM_USDT_data.csv,2023-11-03 (23/24 hours)
XLM_USDT_data.csv,2024-07-12 (23/24 hours)
XLM_USDT_data.csv,2024-07-25 (23/24 hours)
XLM_USDT_data.csv,2024-08-16 (23/24 hours)
XLM_USDT_data.csv,2024-08-20 (23/24 hours)
XLM_USDT_data.csv,2024-09-15 (23/24 hours)
XLM_USDT_data.csv,2024-10-09 (23/24 hours)
XLM_USDT_data.csv,2024-10-22 (10/24 hours)
BEAM_USDT_data.csv,2023-10-26 (10/24 hours)
BEAM_USDT_data.csv,2023-11-03 (23/24 hours)
BEAM_USDT_data.csv,2024-01-09 (23/24 hours)
BEAM_USDT_data.csv,2024-10-09 (23/24 hours)
BEAM_USDT_data.csv,2024-10-22 (10/24 hours)
OP_USDT_data.csv,2022-10-04 (23/24 hours)
OP_USDT_data.csv,2022-10-07 (20/24 hours)
OP_USDT_data.csv,2022-10-08 (17/24 hours)
OP_USDT_data.csv,2023-03-02 (23/24 hours)
OP_USDT_data.csv,2023-11-03 (23/24 hours)
OP_USDT_data.csv,2024-01-09 (23/24 hours)
OP_USDT_data.csv,2024-07-26 (23/24 hours)
OP_USDT_data.csv,2024-08-20 (22/24 hours)
OP_USDT_data.csv,2024-10-22 (8/24 hours)
IOTX_USDT_data.csv,2021-01-01 (1/24 hours)
IOTX_USDT_data.csv,2022-10-01 (6/24 hours)
IOTX_USDT_data.csv,2022-10-02 (16/24 hours)
IOTX_USDT_data.csv,2023-07-21 (21/24 hours)
IOTX_USDT_data.csv,2024-05-09 (21/24 hours)
IOTX_USDT_data.csv,2024-07-26 (23/24 hours)
IOTX_USDT_data.csv,2024-08-20 (22/24 hours)
IOTX_USDT_data.csv,2024-10-22 (8/24 hours)
SNX_USDT_data.csv,2021-01-01 (1/24 hours)
SNX_USDT_data.csv,2024-05-09 (21/24 hours)
SNX_USDT_data.csv,2024-07-26 (23/24 hours)
SNX_USDT_data.csv,2024-08-20 (22/24 hours)
SNX_USDT_data.csv,2024-10-22 (8/24 hours)
CORE_USDT_data.csv,2023-02-08 (11/24 hours)
CORE_USDT_data.csv,2023-03-02 (23/24 hours)
CORE_USDT_data.csv,2023-11-03 (23/24 hours)
CORE_USDT_data.csv,2024-01-09 (23/24 hours)
CORE_USDT_data.csv,2024-07-02 (23/24 hours)
CORE_USDT_data.csv,2024-09-19 (23/24 hours)
CORE_USDT_data.csv,2024-10-09 (23/24 hours)
CORE_USDT_data.csv,2024-10-22 (10/24 hours)
ICP_USDT_data.csv,2021-05-10 (7/24 hours)
ICP_USDT_data.csv,2021-07-01 (23/24 hours)
ICP_USDT_data.csv,2021-07-06 (23/24 hours)
ICP_USDT_data.csv,2022-01-27 (23/24 hours)
ICP_USDT_data.csv,2022-02-11 (20/24 hours)
ICP_USDT_data.csv,2022-03-02 (23/24 hours)
ICP_USDT_data.csv,2022-05-20 (20/24 hours)
ICP_USDT_data.csv,2022-10-04 (23/24 hours)
ICP_USDT_data.csv,2022-10-07 (20/24 hours)
ICP_USDT_data.csv,2022-10-08 (17/24 hours)
ICP_USDT_data.csv,2023-03-02 (23/24 hours)
ICP_USDT_data.csv,2023-11-03 (23/24 hours)
ICP_USDT_data.csv,2024-01-09 (23/24 hours)
ICP_USDT_data.csv,2024-10-09 (23/24 hours)
ICP_USDT_data.csv,2024-10-22 (10/24 hours)
DOT_USDT_data.csv,2021-01-01 (1/24 hours)
DOT_USDT_data.csv,2021-01-10 (21/24 hours)
DOT_USDT_data.csv,2021-03-25 (23/24 hours)
DOT_USDT_data.csv,2021-04-17 (21/24 hours)
DOT_USDT_data.csv,2024-07-26 (23/24 hours)
DOT_USDT_data.csv,2024-08-20 (22/24 hours)
DOT_USDT_data.csv,2024-10-22 (8/24 hours)
OKB_USDT_data.csv,2021-01-01 (1/24 hours)
OKB_USDT_data.csv,2021-12-12 (23/24 hours)
OKB_USDT_data.csv,2022-10-01 (7/24 hours)
OKB_USDT_data.csv,2022-10-07 (16/24 hours)
OKB_USDT_data.csv,2023-07-21 (10/24 hours)
OKB_USDT_data.csv,2023-07-23 (9/24 hours)
OKB_USDT_data.csv,2024-05-09 (21/24 hours)
OKB_USDT_data.csv,2024-05-15 (23/24 hours)
OKB_USDT_data.csv,2024-05-27 (17/24 hours)
OKB_USDT_data.csv,2024-05-28 (12/24 hours)
OKB_USDT_data.csv,2024-05-29 (23/24 hours)
OKB_USDT_data.csv,2024-05-30 (21/24 hours)
OKB_USDT_data.csv,2024-07-26 (23/24 hours)
OKB_USDT_data.csv,2024-08-20 (22/24 hours)
OKB_USDT_data.csv,2024-10-22 (8/24 hours)
FLR_USDT_data.csv,2023-01-10 (20/24 hours)
FLR_USDT_data.csv,2023-03-02 (23/24 hours)
FLR_USDT_data.csv,2023-11-03 (23/24 hours)
